c 
(134, 188, 174, 228)
(142, 158, 182, 198)
(146, 212, 186, 252)
(150, 129, 190, 169)
(170, 232, 210, 272)
(174, 116, 214, 156)
(194, 243, 234, 283)
(198, 112, 238, 152)
(218, 247, 258, 287)
(222, 111, 262, 151)
(242, 243, 282, 283)
(246, 114, 286, 154)
(266, 240, 306, 280)
(270, 118, 310, 158)
(290, 243, 330, 283)
(294, 121, 334, 161)
(314, 246, 354, 286)
(318, 125, 358, 165)
(342, 128, 382, 168)
(112, 325, 152, 365)
(112, 349, 152, 389)
(116, 283, 156, 323)
(126, 258, 166, 298)
(136, 361, 176, 401)
(150, 249, 190, 289)
(160, 365, 200, 405)
(174, 250, 214, 290)
(184, 365, 224, 405)
(198, 256, 238, 296)
(208, 365, 248, 405)
(222, 261, 262, 301)
(232, 365, 272, 405)
(246, 267, 286, 307)
(256, 364, 296, 404)
(270, 273, 310, 313)
(280, 363, 320, 403)
(294, 278, 334, 318)
(304, 364, 344, 404)
(318, 283, 358, 323)
(110, 371, 150, 411)
(112, 404, 152, 444)
(114, 428, 154, 468)
(116, 452, 156, 492)
(134, 371, 174, 411)
(140, 475, 180, 515)
(158, 373, 198, 413)
(164, 476, 204, 516)
(182, 374, 222, 414)
(188, 476, 228, 516)
(206, 376, 246, 416)
(212, 476, 252, 516)
(230, 378, 270, 418)
(236, 471, 276, 511)
(254, 380, 294, 420)
(260, 466, 300, 506)
(278, 385, 318, 425)
(284, 463, 324, 503)
(302, 385, 342, 425)
(308, 462, 348, 502)
(114, 481, 154, 521)
(116, 505, 156, 545)
(120, 532, 160, 572)
(122, 556, 162, 596)
(138, 473, 178, 513)
(162, 472, 202, 512)
(170, 576, 210, 616)
(186, 471, 226, 511)
(194, 570, 234, 610)
(210, 473, 250, 513)
(218, 563, 258, 603)
(234, 475, 274, 515)
(242, 555, 282, 595)
(258, 476, 298, 516)
(266, 549, 306, 589)
(282, 476, 322, 516)
(290, 543, 330, 583)
(306, 476, 346, 516)
(138, 576, 178, 616)
(162, 570, 202, 610)
(186, 571, 226, 611)
(210, 572, 250, 612)
(234, 575, 274, 615)
(174, 89, 214, 129)
(176, 113, 216, 153)
(182, 63, 222, 103)
(200, 131, 240, 171)
(224, 148, 264, 188)
(248, 150, 288, 190)
(272, 151, 312, 191)
(296, 149, 336, 189)
(320, 147, 360, 187)
(128, 182, 180, 234)
(138, 144, 190, 196)
(146, 213, 198, 265)
(160, 113, 212, 165)
(178, 235, 230, 287)
(192, 106, 244, 158)
(210, 240, 262, 292)
(224, 106, 276, 158)
(242, 235, 294, 287)
(256, 111, 308, 163)
(274, 235, 326, 287)
(288, 115, 340, 167)
(306, 240, 358, 292)
(320, 120, 372, 172)
(106, 319, 158, 371)
(108, 351, 160, 403)
(110, 277, 162, 329)
(134, 246, 186, 298)
(140, 357, 192, 409)
(166, 244, 218, 296)
(172, 359, 224, 411)
(198, 251, 250, 303)
(204, 359, 256, 411)
(230, 259, 282, 311)
(236, 358, 288, 410)
(262, 266, 314, 318)
(268, 357, 320, 409)
(294, 274, 346, 326)
(300, 358, 352, 410)
(104, 365, 156, 417)
(106, 398, 158, 450)
(110, 439, 162, 491)
(136, 366, 188, 418)
(140, 470, 192, 522)
(168, 368, 220, 420)
(172, 470, 224, 522)
(200, 370, 252, 422)
(204, 470, 256, 522)
(232, 372, 284, 424)
(236, 464, 288, 516)
(264, 377, 316, 429)
(268, 458, 320, 510)
(296, 379, 348, 431)
(300, 456, 352, 508)
(108, 475, 160, 527)
(112, 510, 164, 562)
(116, 543, 168, 595)
(140, 467, 192, 519)
(164, 570, 216, 622)
(172, 465, 224, 517)
(196, 562, 248, 614)
(204, 467, 256, 519)
(228, 552, 280, 604)
(236, 469, 288, 521)
(260, 543, 312, 595)
(268, 470, 320, 522)
(292, 536, 344, 588)
(300, 470, 352, 522)
(132, 570, 184, 622)
(164, 564, 216, 616)
(196, 566, 248, 618)
(228, 569, 280, 621)
(168, 83, 220, 135)
(178, 50, 230, 102)
(178, 114, 230, 166)
(210, 137, 262, 189)
(242, 144, 294, 196)
