c 
(208, 75, 248, 115)
(208, 228, 248, 268)
(232, 75, 272, 115)
(232, 239, 272, 279)
(256, 76, 296, 116)
(256, 260, 296, 300)
(280, 76, 320, 116)
(280, 269, 320, 309)
(304, 77, 344, 117)
(304, 271, 344, 311)
(328, 81, 368, 121)
(328, 259, 368, 299)
(346, 231, 386, 271)
(350, 195, 390, 235)
(352, 98, 392, 138)
(352, 169, 392, 209)
(354, 142, 394, 182)
(418, 427, 458, 467)
(418, 451, 458, 491)
(422, 475, 462, 515)
(424, 398, 464, 438)
(428, 499, 468, 539)
(448, 386, 488, 426)
(452, 517, 492, 557)
(472, 380, 512, 420)
(476, 519, 516, 559)
(496, 378, 536, 418)
(500, 509, 540, 549)
(520, 377, 560, 417)
(524, 494, 564, 534)
(544, 375, 584, 415)
(548, 477, 588, 517)
(414, 579, 454, 619)
(416, 606, 456, 646)
(424, 555, 464, 595)
(440, 613, 480, 653)
(448, 541, 488, 581)
(464, 613, 504, 653)
(472, 539, 512, 579)
(488, 612, 528, 652)
(496, 537, 536, 577)
(512, 612, 552, 652)
(520, 539, 560, 579)
(536, 612, 576, 652)
(544, 541, 584, 581)
(560, 612, 600, 652)
(204, 377, 244, 417)
(208, 278, 248, 318)
(228, 390, 268, 430)
(232, 281, 272, 321)
(252, 405, 292, 445)
(256, 284, 296, 324)
(276, 416, 316, 456)
(280, 285, 320, 325)
(300, 418, 340, 458)
(304, 287, 344, 327)
(324, 411, 364, 451)
(328, 290, 368, 330)
(348, 362, 388, 402)
(350, 325, 390, 365)
(188, 516, 228, 556)
(204, 423, 244, 463)
(212, 533, 252, 573)
(228, 424, 268, 464)
(236, 552, 276, 592)
(252, 425, 292, 465)
(260, 566, 300, 606)
(276, 429, 316, 469)
(284, 574, 324, 614)
(300, 432, 340, 472)
(308, 571, 348, 611)
(324, 446, 364, 486)
(332, 552, 372, 592)
(344, 470, 384, 510)
(344, 499, 384, 539)
(406, 51, 446, 91)
(412, 78, 452, 118)
(428, 102, 468, 142)
(442, 126, 482, 166)
(466, 140, 506, 180)
(490, 140, 530, 180)
(514, 138, 554, 178)
(538, 125, 578, 165)
(406, 214, 446, 254)
(406, 238, 446, 278)
(410, 190, 450, 230)
(410, 265, 450, 305)
(416, 164, 456, 204)
(418, 292, 458, 332)
(424, 316, 464, 356)
(432, 340, 472, 380)
(440, 159, 480, 199)
(440, 367, 480, 407)
(464, 154, 504, 194)
(464, 384, 504, 424)
(488, 153, 528, 193)
(488, 371, 528, 411)
(512, 152, 552, 192)
(512, 355, 552, 395)
(536, 151, 576, 191)
(536, 340, 576, 380)
(208, 73, 252, 117)
(208, 227, 252, 271)
(234, 73, 278, 117)
(234, 240, 278, 284)
(260, 74, 304, 118)
(260, 263, 304, 307)
(286, 75, 330, 119)
(286, 268, 330, 312)
