c 
(427, 51, 517, 141)
(427, 238, 517, 328)
(483, 62, 573, 152)
(483, 259, 573, 349)
(523, 125, 613, 215)
(531, 179, 621, 269)
(363, 432, 453, 522)
(419, 468, 509, 558)
(423, 276, 513, 366)
(475, 485, 565, 575)
(479, 292, 569, 382)
(491, 402, 581, 492)
(523, 348, 613, 438)
(315, 634, 405, 724)
(363, 465, 453, 555)
(371, 677, 461, 767)
(419, 474, 509, 564)
(427, 679, 517, 769)
(439, 600, 529, 690)
(459, 530, 549, 620)
(429, 232, 547, 350)
(433, 36, 551, 154)
(501, 231, 619, 349)
(505, 67, 623, 185)
(509, 137, 627, 255)
(361, 426, 479, 544)
(429, 262, 547, 380)
(433, 465, 551, 583)
(477, 388, 595, 506)
(317, 628, 435, 746)
(361, 452, 479, 570)
(409, 670, 527, 788)
(425, 586, 543, 704)
(433, 500, 551, 618)
(422, 66, 486, 130)
(428, 246, 492, 310)
(458, 63, 522, 127)
(464, 263, 528, 327)
(494, 73, 558, 137)
(500, 272, 564, 336)
(530, 93, 594, 157)
(536, 138, 600, 202)
(536, 254, 600, 318)
(538, 177, 602, 241)
(552, 212, 616, 276)
(362, 435, 426, 499)
(398, 459, 462, 523)
(416, 289, 480, 353)
(434, 482, 498, 546)
(452, 289, 516, 353)
(470, 495, 534, 559)
(488, 302, 552, 366)
(504, 415, 568, 479)
(506, 491, 570, 555)
(514, 337, 578, 401)
(516, 450, 580, 514)
(536, 376, 600, 440)
(314, 640, 378, 704)
(350, 659, 414, 723)
(362, 477, 426, 541)
(386, 692, 450, 756)
(398, 480, 462, 544)
(434, 488, 498, 552)
(436, 697, 500, 761)
(452, 613, 516, 677)
(456, 650, 520, 714)
(460, 527, 524, 591)
(486, 574, 550, 638)
